
2025/03/08 (22:49:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/08 (22:49:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/11 (00:23:40) | ===> btop++ v.1.4.0
2025/03/11 (00:23:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/11 (00:23:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/11 (00:29:33) | ===> btop++ v.1.4.0
2025/03/11 (00:29:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/11 (00:29:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/11 (00:49:20) | ===> btop++ v.1.4.0
2025/03/11 (00:49:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/11 (00:49:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/12 (11:11:46) | ===> btop++ v.1.4.0
2025/03/12 (11:11:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/12 (11:11:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (17:58:05) | ===> btop++ v.1.4.0
2025/03/14 (17:58:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (17:58:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (18:21:51) | ===> btop++ v.1.4.0
2025/03/14 (18:21:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (18:21:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (19:58:45) | ===> btop++ v.1.4.0
2025/03/14 (19:58:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (19:58:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (19:59:21) | ===> btop++ v.1.4.0
2025/03/14 (19:59:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (19:59:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (20:01:50) | ===> btop++ v.1.4.0
2025/03/14 (20:01:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (20:01:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (20:14:03) | ===> btop++ v.1.4.0
2025/03/14 (20:14:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (20:14:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (20:42:12) | ===> btop++ v.1.4.0
2025/03/14 (20:42:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (20:42:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (20:52:40) | ===> btop++ v.1.4.0
2025/03/14 (20:52:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (20:52:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (21:38:26) | ===> btop++ v.1.4.0
2025/03/14 (21:38:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (21:38:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/17 (16:50:15) | ===> btop++ v.1.4.0
2025/03/17 (16:50:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (16:50:15) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/17 (21:45:35) | ERROR: Stall in Runner thread, restarting!
2025/03/17 (21:46:05) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (23:01:50) | ===> btop++ v.1.4.0
2025/03/17 (23:01:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (23:01:50) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/18 (09:09:52) | ===> btop++ v.1.4.0
2025/03/18 (09:09:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (09:09:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (19:51:10) | ===> btop++ v.1.4.0
2025/03/24 (19:51:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (19:51:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (19:54:36) | ===> btop++ v.1.4.0
2025/03/24 (19:54:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (19:54:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (19:55:06) | ===> btop++ v.1.4.0
2025/03/24 (19:55:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (19:55:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (19:55:56) | ===> btop++ v.1.4.0
2025/03/24 (19:55:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (19:55:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/24 (20:04:38) | ===> btop++ v.1.4.0
2025/03/24 (20:04:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/24 (20:04:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/28 (00:04:58) | ===> btop++ v.1.4.0
2025/03/28 (00:04:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
